"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\screens\splash_screen.dart", "Dart", 53, 1, 8, 62
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\screens\support.dart", "Dart", 89, 0, 3, 92
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\background.dart", "Dart", 114, 0, 4, 118
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\billingwidget.dart", "Dart", 169, 3, 6, 178
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\customAppBar.dart", "Dart", 49, 1, 5, 55
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\customAppBar2.dart", "Dart", 49, 1, 5, 55
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\delete_pop.dart", "Dart", 93, 0, 3, 96
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\drawerHeader.dart", "Dart", 53, 1, 3, 57
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\drawerListTitle.dart", "Dart", 54, 1, 5, 60
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\homeBtn.dart", "Dart", 131, 15, 11, 157
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\homeBtnClipPath.dart", "Dart", 21, 1, 8, 30
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\homeBtnDecoration.dart", "Dart", 14, 1, 4, 19
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\invoices_widget.dart", "Dart", 171, 3, 6, 180
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\label.dart", "Dart", 73, 0, 5, 78
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\logout_pop.dart", "Dart", 105, 0, 4, 109
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\market_widget.dart", "Dart", 118, 0, 3, 121
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\paymentwidget.dart", "Dart", 163, 0, 6, 169
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\pop_for_back.dart", "Dart", 180, 4, 8, 192
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\pop_for_scan.dart", "Dart", 144, 4, 9, 157
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\selectcardwidget.dart", "Dart", 57, 3, 4, 64
"c:\Users\Mobo\Desktop\smarket_repo\lib\presentation\widgets\thankyou.dart", "Dart", 58, 0, 3, 61
"Total", "-", 6897, 423, 443, 7763
